"","id","day","prompt","prompt_index","responded","positive_mood","negative_mood","phys_activity","with_others"
"1","1",1,1,1,0,NA,NA,NA,NA
"2","1",1,2,2,1,54.888810917837,13.0670476724836,0,1
"3","1",1,3,3,1,23.1974619058267,31.0684535728775,64.1118875730053,0
"4","1",1,4,4,1,61.1181830195503,18.1834075599477,0,0
"5","1",1,5,5,1,53.4539616793406,19.5892462703162,82.9653693262884,0
"6","1",1,6,6,1,44.2022488712934,20.5148851554771,0,1
"7","1",2,1,7,1,48.196886072258,32.7230092126393,64.089615096469,0
"8","1",2,2,8,1,56.7424754048881,23.0077834606208,65.4023612648953,0
"9","1",2,3,9,1,85.4992741637721,32.3831246826789,0,0
"10","1",2,4,10,1,58.332595711325,24.4405596621131,65.5876377892821,0
"11","1",2,5,11,1,44.31815640594,35.1297784032514,70.2330448205804,0
"12","1",2,6,12,1,78.9178384365272,31.7545954090412,62.5441769121645,0
"13","1",3,1,13,1,50.8122754401251,28.7518314363548,81.7960858650123,1
"14","1",3,2,14,1,46.1177996794469,30.7811861779198,0,0
"15","1",3,3,15,1,41.1077370013284,5.25103007198734,76.3518124040737,1
"16","1",3,4,16,1,47.988802869419,22.5116809580901,43.0560045363973,1
"17","1",3,5,17,1,79.296519994076,19.7438105925283,73.9108084460761,1
"18","1",3,6,18,1,66.9532500448414,8.03697485611797,71.6770092374415,1
"19","1",4,1,19,1,64.9128340835974,25.3901233747977,0,1
"20","1",4,2,20,1,57.834016475014,29.750362355606,64.8379052756649,0
"21","1",4,3,21,1,59.4719623873405,29.2987170327755,75.5510797716455,0
"22","1",4,4,22,1,63.145833475714,16.6508732620049,0,0
"23","1",4,5,23,1,58.664706545397,27.1526195765601,46.3430521553463,1
"24","1",4,6,24,1,57.9351516449643,27.5478297106449,71.8560503466087,1
"25","1",5,1,25,1,67.5204324621187,41.8787334736054,86.9972658212477,1
"26","1",5,2,26,1,54.084280396721,12.4051330103237,71.4357315354106,1
"27","1",5,3,27,1,59.134557773324,30.4801916458941,65.6428106693097,0
"28","1",5,4,28,1,45.3048445142166,20.1757636036484,79.9469789458421,0
"29","1",5,5,29,1,75.0821540829059,26.0602383281811,76.2251798689601,1
"30","1",5,6,30,1,72.7876163644641,12.2627066393385,57.0926343272101,1
"31","1",6,1,31,1,34.3274140457254,14.7962800210045,36.4086937133184,1
"32","1",6,2,32,1,53.478676683399,8.13569197777974,84.2996964862633,1
"33","1",6,3,33,1,62.672785507003,22.6805672166537,74.4928014752488,0
"34","1",6,4,34,1,61.8673476766834,25.675826321671,50.6776695595373,1
"35","1",6,5,35,0,NA,NA,NA,NA
"36","1",6,6,36,1,50.7266166232643,15.0760555278789,65.212677621706,1
"37","1",7,1,37,1,41.6105117909902,29.6876754407735,74.2797608769819,0
"38","1",7,2,38,1,59.692113703649,32.8048000329658,0,0
"39","1",7,3,39,1,37.6047701433249,20.8238936480145,41.4661182774822,0
